sentence,sentiment
"['ਅਧਿਆਪਕ', 'ਦੇਸ', 'ਤੇ', 'ਕੌਮ', 'ਦਾ', 'ਨਿਰਮਾਤਾ', 'ਹੁੰਦਾ', 'ਹੈ', '।']",positive
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਨੂੰ', 'ਅਗਿਆਨਤਾ', 'ਦੇ', 'ਹਨੇਰੇ', 'ਤੋਂ', 'ਕੱਢ', 'ਕੇ', 'ਸਹੀ', 'ਰਸਤੇ', 'ਪਾਉਂਦੇ', 'ਹਨ', '।']",positive
"['ਇਕ', 'ਚੰਗਾ', 'ਅਧਿਆਪਕ', 'ਵਿਦਿਆਰਥੀ', 'ਦਾ', 'ਤੀਜਾ', 'ਨੇਤਰ', 'ਖੋਲਹ', 'ਸਕਦਾ', 'ਹੈ', '।']",positive
"['ਅਜਿਹੇ', 'ਅਧਿਆਪਕ', 'ਸਮਾਜ', 'ਵਿੱਚ', 'ਮਾਣ', 'ਅਤੇ', 'ਸਤਿਕਾਰ', 'ਪਾਉਂਦੇ', 'ਹਨ', '।']",positive
"['ਸਾਰੇ', 'ਅਧਿਆਪਕ', 'ਪਿਆਰ', 'ਅਤੇ', 'ਸਤਿਕਾਰ', 'ਦੇ', 'ਪਾਤਰ', 'ਹਨ', '।']",positive
"['ਸ', '.', 'ਹਰਭਜਨ', 'ਸਿੰਘ', 'ਜੀ', 'ਮੇਰੇ', 'ਮਨਪਸੰਦ', 'ਅਧਿਆਪਕ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਐਮ', '.', 'ਏ', '.', 'ਅਤੇ', 'ਬੀ', '.', 'ਐਡ', 'ਹਨ', '।']",positive
"['ਉਹਨਾਂ', 'ਦੀ', 'ਉਮਰ', 'ਲਗਭਗ', 'ਸਾਲ', 'ਹੈ', 'ਪਰ', 'ਉਹ', 'ਨੌਜਵਾਨ', 'ਦਿਸਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਸਾਫ-ਸੁੱਥਰੇ', 'ਅਤੇ', 'ਸਾਦੇ', 'ਕੱਪੜੇ', 'ਪਹਿਨਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਨਾਲ', 'ਪਿਆਰ', 'ਭਰੀ', 'ਵਰਤੋਂ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਅਮਰਿਤ', 'ਵੇਲੇ', 'ਨੇਮ', 'ਨਾਲ', 'ਸੈਰ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਉੱਚੇ', 'ਆਚਰਨ', 'ਦੇ', 'ਮਾਲਕ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਧਾਰਮਿਕ', 'ਪਰਿਵਾਰ', 'ਨਾਲ', 'ਸੰਬੰਧ', 'ਰੱਖਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਹਰ', 'ਵਿਦਿਆਰਥੀ', 'ਨੂੰ', 'ਇੱਜਤ', 'ਨਾਲ', 'ਪਿਆਰ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਪੜਹਾਉਣ', 'ਦਾ', 'ਤਰੀਕਾ', 'ਬਹੁਤ', 'ਸੋਖਾ', 'ਹੈ', '।']",positive
"['ਉਹਨਾਂ', 'ਦੇ', 'ਵਿਸਿਆਂ', 'ਤੇ', 'ਪੂਰੀ', 'ਪਕੜ', 'ਹੈ', '।']",positive
"['ਉਹ', 'ਬਲੈਕ', 'ਬੋਰਡ', 'ਦੀ', 'ਵਰਤੋਂ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਲਿਖਾਈ', 'ਬਹੁਤ', 'ਸੋਹਣੀ', 'ਹੈ', '।']",positive
"['ਉਹ', 'ਪੂਰੀ', 'ਤਰਹਾਂ', 'ਸੁਚੇਤ', 'ਹੋ', 'ਕੇ', 'ਪੜਹਾਉਂਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਜਮਾਤ', 'ਵਿਚ', 'ਅਨੁਸਾਸਨ', 'ਬਣਾਈ', 'ਰੱਖਦੇ', 'ਹਨ', '।']",positive
"['ਕਿਸੇ', 'ਵਿਦਿਆਰਥੀ', 'ਵਿਚ', 'ਹਿੰਮਤ', 'ਨਹੀਂ', 'ਕਿ', 'ਉਨਹਾਂ', 'ਨਾਲ', 'ਬਦਤਮੀਜੀ', 'ਕਰੇ', '।']",positive
"['ਉਹ', 'ਹਰ', 'ਗੱਲ', 'ਦਲੀਲ', 'ਨਾਲ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਹਰ', 'ਵੇਲੇ', 'ਖੁਸ', 'ਰਹਿੰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਅਨੁਸਾਸਨ', 'ਤੋੜਨ', 'ਤੇ', 'ਵੀ', 'ਮਾਫੀ', 'ਦੀ', 'ਮੌਕਾ', 'ਦਿੰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਚੰਗੇ', 'ਖਿਡਾਰੀ', 'ਵੀ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਹਾਕੀ', 'ਟੀਮ', 'ਦੇ', 'ਇੰਚਾਰਜ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਨੂੰ', 'ਖੇਡਾਂ', 'ਵਿਚ', 'ਮਾਹਰ', 'ਬਣਾਉਂਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਚੰਗੇ', 'ਵਕਤਾ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਸਕੂਲ', 'ਸਮਾਗਮਾਂ', 'ਦੀ', 'ਕਾਰਵਾਈ', 'ਚੰਗੀ', 'ਤਰਹਾਂ', 'ਸੰਭਾਲਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਨਿਮਰ', 'ਅਤੇ', 'ਮਿੱਠੇ', 'ਸੁਭਾਅ', 'ਵਾਲੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਆਪਣੇ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਨੂੰ', 'ਬੱਚਿਆਂ', 'ਵਾਂਗ', 'ਸਮਝਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਆਪਣੇ', 'ਅਧਿਆਪਕ', 'ਸਾਥੀਆਂ', 'ਦਾ', 'ਪੂਰਾ', 'ਸਤਿਕਾਰ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਹਰ', 'ਸਮੱਸਿਆ', 'ਦਾ', 'ਹੱਲ', 'ਗੱਲਬਾਤ', 'ਨਾਲ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਹਰ', 'ਸਮੇਂ', 'ਮੁਸਕੁਰਾਉਂਦੇ', 'ਰਹਿੰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਨਿਮਰਤਾ', 'ਅਤੇ', 'ਮਿੱਠਾਸ', 'ਦੇ', 'ਮੂਰਤ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਸਮੇਂ', 'ਸਿਰ', 'ਸਕੂਲ', 'ਪਹੁੰਚਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਪਰਾਰਥਨਾ', 'ਵਿੱਚ', 'ਹਿੱਸਾ', 'ਲੈਂਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਨੇਕ', 'ਦਿਲ', 'ਅਤੇ', 'ਇਮਾਨਦਾਰ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਸੱਚ', 'ਦੀ', 'ਪਾਸਦਾਰੀ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਆਦਰਸ', 'ਅਧਿਆਪਕ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਵਿਚ', 'ਨੇਕੀਆਂ', 'ਪੈਦਾ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਬੱਚਿਆਂ', 'ਨੂੰ', 'ਚੰਗੇ', 'ਨੇਤਾ', 'ਬਣਾਉਣ', 'ਦਾ', 'ਉਦੇਸ', 'ਰੱਖਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਬਚਪਨ', 'ਤੋਂ', 'ਹੀ', 'ਅਨੁਸਾਸਨ', 'ਸਿਖਾਉਂਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਸਾਰੇ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਲਈ', 'ਪਿਆਰੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਮਿਹਨਤੀ', 'ਅਤੇ', 'ਸੰਘਰਸੀਲ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਸਿੱਧੀ', 'ਸਧੀ', 'ਜਿੰਦਗੀ', 'ਜੀਉਂਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਹਮੇਸਾ', 'ਵਿਦਿਆਰਥੀਆਂ', 'ਦੀ', 'ਮਦਦ', 'ਕਰਦੇ', 'ਹਨ', '।']",positive
"['ਉਹ', 'ਸਕੂਲ', 'ਵਿਚ', 'ਸਭ', 'ਤੋਂ', 'ਜਿਆਦਾ', 'ਮਾਣਯੋਗ', 'ਅਧਿਆਪਕ', 'ਹਨ', '।']",positive
